time,p50,p10,p90,t1,t2,issue_date
2026-02-01T00:00,0.0191,0.0104,0.3233,0.0299,0.0371,2026-01-31
2026-02-01T01:00,0.0189,0.0092,0.249,0.0072,0.0253,2026-01-31
2026-02-01T02:00,0.0178,0.0093,0.1612,0.0143,0.0213,2026-01-31
2026-02-01T03:00,0.0232,0.0092,0.1318,0.015,0.0188,2026-01-31
2026-02-01T04:00,0.0174,0.0093,0.1697,0.015,0.0127,2026-01-31
2026-02-01T05:00,0.0246,0.009,0.1225,0.0148,0.0159,2026-01-31
2026-02-01T06:00,0.0232,0.0093,0.1394,0.0132,0.0157,2026-01-31
2026-02-01T07:00,0.0179,0.0097,0.1862,0.0,0.0097,2026-01-31
2026-02-01T08:00,0.0773,0.0075,0.4571,0.0591,0.0401,2026-01-31
2026-02-01T09:00,0.0951,0.0064,0.6372,0.106,0.0782,2026-01-31
2026-02-01T10:00,0.0812,0.0166,0.6538,0.0758,0.0812,2026-01-31
2026-02-01T11:00,0.0721,0.0132,0.5081,0.0687,0.0812,2026-01-31
2026-02-01T12:00,0.0589,0.0097,0.5693,0.0658,0.107,2026-01-31
2026-02-01T13:00,0.1376,0.0245,0.4934,0.1233,0.1839,2026-01-31
2026-02-01T14:00,0.1286,0.0312,0.4964,0.1378,0.155,2026-01-31
2026-02-01T15:00,0.1529,0.027,0.5129,0.1505,0.1475,2026-01-31
2026-02-01T16:00,0.2481,0.0568,0.7795,0.2286,0.2225,2026-01-31
2026-02-01T17:00,0.1874,0.0304,0.5412,0.1637,0.1319,2026-01-31
2026-02-01T18:00,0.1905,0.0436,0.6583,0.2146,0.1601,2026-01-31
2026-02-01T19:00,0.2099,0.0439,0.6682,0.2316,0.1601,2026-01-31
2026-02-01T20:00,0.1895,0.0353,0.6681,0.2123,0.1678,2026-01-31
2026-02-01T21:00,0.2081,0.0435,0.6295,0.2048,0.1862,2026-01-31
2026-02-01T22:00,0.1981,0.037,0.6186,0.2091,0.1738,2026-01-31
2026-02-01T23:00,0.1646,0.0297,0.6093,0.1581,0.1373,2026-01-31
2026-02-02T00:00,0.2143,0.0307,0.6513,0.1777,0.1988,2026-02-01
2026-02-02T01:00,0.3188,0.0705,0.6658,0.2778,0.3118,2026-02-01
2026-02-02T02:00,0.2947,0.0683,0.7901,0.3041,0.3225,2026-02-01
2026-02-02T03:00,0.2762,0.0818,0.8041,0.3007,0.2702,2026-02-01
2026-02-02T04:00,0.3472,0.0953,0.8093,0.3591,0.3344,2026-02-01
2026-02-02T05:00,0.4067,0.1078,0.8916,0.4025,0.4116,2026-02-01
2026-02-02T06:00,0.3696,0.0991,0.8529,0.3507,0.4142,2026-02-01
2026-02-02T07:00,0.3809,0.0894,0.8361,0.3503,0.4004,2026-02-01
2026-02-02T08:00,0.3587,0.0842,0.8663,0.3151,0.4447,2026-02-01
2026-02-02T09:00,0.6625,0.2746,0.9492,0.6219,0.6854,2026-02-01
2026-02-02T10:00,0.7076,0.4176,0.9289,0.6641,0.6903,2026-02-01
