issue_date,issued_at,time,lead_day,p50,p10,p90,t1,t2,curve,wind_100m,actual
2026-01-31,2026-01-31T23:59,2026-02-01T00:00,1,0.0191,0.0104,0.3233,0.0299,0.0371,0.01,0.21,
2026-01-31,2026-01-31T23:59,2026-02-01T01:00,1,0.0189,0.0092,0.249,0.0072,0.0253,0.01,0.42,
2026-01-31,2026-01-31T23:59,2026-02-01T02:00,1,0.0178,0.0093,0.1612,0.0143,0.0213,0.01,0.4,
2026-01-31,2026-01-31T23:59,2026-02-01T03:00,1,0.0232,0.0092,0.1318,0.015,0.0188,0.01,0.96,
2026-01-31,2026-01-31T23:59,2026-02-01T04:00,1,0.0174,0.0093,0.1697,0.015,0.0127,0.01,0.8,
2026-01-31,2026-01-31T23:59,2026-02-01T05:00,1,0.0246,0.009,0.1225,0.0148,0.0159,0.01,1.49,
2026-01-31,2026-01-31T23:59,2026-02-01T06:00,1,0.0232,0.0093,0.1394,0.0132,0.0157,0.0116,2.12,
2026-01-31,2026-01-31T23:59,2026-02-01T07:00,1,0.0179,0.0097,0.1862,0.0,0.0097,0.0418,3.33,
2026-01-31,2026-01-31T23:59,2026-02-01T08:00,1,0.0773,0.0075,0.4571,0.0591,0.0401,0.1337,5.05,
2026-01-31,2026-01-31T23:59,2026-02-01T09:00,1,0.0951,0.0064,0.6372,0.106,0.0782,0.119,4.83,
2026-01-31,2026-01-31T23:59,2026-02-01T10:00,1,0.0812,0.0166,0.6538,0.0758,0.0812,0.101,4.53,
2026-01-31,2026-01-31T23:59,2026-02-01T11:00,1,0.0721,0.0132,0.5081,0.0687,0.0812,0.0524,3.59,
2026-01-31,2026-01-31T23:59,2026-02-01T12:00,1,0.0589,0.0097,0.5693,0.0658,0.107,0.0645,3.86,
2026-01-31,2026-01-31T23:59,2026-02-01T13:00,1,0.1376,0.0245,0.4934,0.1233,0.1839,0.0776,4.12,
2026-01-31,2026-01-31T23:59,2026-02-01T14:00,1,0.1286,0.0312,0.4964,0.1378,0.155,0.085,4.25,
2026-01-31,2026-01-31T23:59,2026-02-01T15:00,1,0.1529,0.027,0.5129,0.1505,0.1475,0.0884,4.31,
2026-01-31,2026-01-31T23:59,2026-02-01T16:00,1,0.2481,0.0568,0.7795,0.2286,0.2225,0.1935,5.69,
2026-01-31,2026-01-31T23:59,2026-02-01T17:00,1,0.1874,0.0304,0.5412,0.1637,0.1319,0.14,5.12,
2026-01-31,2026-01-31T23:59,2026-02-01T18:00,1,0.1905,0.0436,0.6583,0.2146,0.1601,0.1884,5.64,
2026-01-31,2026-01-31T23:59,2026-02-01T19:00,1,0.2099,0.0439,0.6682,0.2316,0.1601,0.1843,5.6,
2026-01-31,2026-01-31T23:59,2026-02-01T20:00,1,0.1895,0.0353,0.6681,0.2123,0.1678,0.2016,5.77,
2026-01-31,2026-01-31T23:59,2026-02-01T21:00,1,0.2081,0.0435,0.6295,0.2048,0.1862,0.2118,5.87,
2026-01-31,2026-01-31T23:59,2026-02-01T22:00,1,0.1981,0.037,0.6186,0.2091,0.1738,0.1986,5.74,
2026-01-31,2026-01-31T23:59,2026-02-01T23:00,1,0.1646,0.0297,0.6093,0.1581,0.1373,0.1742,5.5,
2026-01-31,2026-01-31T23:59,2026-02-02T00:00,2,0.138,0.0354,0.6707,0.133,0.1054,0.1955,5.71,
2026-01-31,2026-01-31T23:59,2026-02-02T01:00,2,0.1804,0.0298,0.6435,0.1624,0.1545,0.2303,6.04,
2026-01-31,2026-01-31T23:59,2026-02-02T02:00,2,0.1629,0.0248,0.6652,0.1365,0.1719,0.2421,6.13,
2026-01-31,2026-01-31T23:59,2026-02-02T03:00,2,0.1771,0.0246,0.7425,0.2199,0.2118,0.2474,6.17,
2026-01-31,2026-01-31T23:59,2026-02-02T04:00,2,0.2578,0.029,0.7953,0.2886,0.2823,0.2448,6.15,
2026-01-31,2026-01-31T23:59,2026-02-02T05:00,2,0.2912,0.0772,0.7712,0.2901,0.2887,0.2803,6.42,
2026-01-31,2026-01-31T23:59,2026-02-02T06:00,2,0.2527,0.087,0.7517,0.3158,0.2476,0.275,6.38,
2026-01-31,2026-01-31T23:59,2026-02-02T07:00,2,0.2788,0.0917,0.7562,0.3356,0.2953,0.2992,6.56,
2026-01-31,2026-01-31T23:59,2026-02-02T08:00,2,0.3511,0.0736,0.8637,0.3045,0.4285,0.295,6.53,
2026-01-31,2026-01-31T23:59,2026-02-02T09:00,2,0.5673,0.1312,0.9407,0.5293,0.5961,0.3962,7.22,
2026-01-31,2026-01-31T23:59,2026-02-02T10:00,2,0.6915,0.4107,0.919,0.6508,0.6707,0.2978,6.55,
2026-01-31,2026-01-31T23:59,2026-02-02T11:00,2,0.8195,0.4207,0.9517,0.8201,0.8397,0.4107,7.31,
2026-01-31,2026-01-31T23:59,2026-02-02T12:00,2,0.9443,0.6192,0.975,0.9106,0.9579,0.5453,8.2,
2026-01-31,2026-01-31T23:59,2026-02-02T13:00,2,0.9995,0.7361,0.9995,0.9494,0.9886,0.6657,9.01,
